Name	Business	Price	Description
"Shiny Buckles"	332.5 * 1000 ^ (thousand)	"Moon Shoe"	3
"Soft Soulful Music"	665 * 1000 ^ (thousand)	"Gravity Booth"	3
"Open Late"	1.33 * 1000 ^ (million)	"Payday Clone"	3
"Dark Matter Engines"	6.65 * 1000 ^ (million)	"Moon Express"	3
"Moon Beverages"	13.3 * 1000 ^ (million)	"Oxygen Bar"	3
"Benevolent AIs"	33.25 * 1000 ^ (million)	"Helium-3 Farm"	3
"Crackers"	1.665 * 1000 ^ (billion)	"Cheese Mine"	3
"Low Gravity Mascots"	133 * 1000 ^ (billion)	"Amusement Park"	3
"Fresh Meat"	665 * 1000 ^ (billion)	"Werewolf Colony"	3
"Mini-Clone Assistants"	3.3 * 1000 ^ (trillion)	"Giant Laser"	3
"Air Filters"	10 * 1000 ^ (trillion)	"All businesses"	9
"Limited Warranties"	30 * 1000 ^ (trillion)	"Moon Shoe"	3
"More Colors"	70 * 1000 ^ (trillion)	"Gravity Booth"	3
"Friendly-Gene Splicing"	150 * 1000 ^ (trillion)	"Payday Clone"	3
"Sarcastic Robot"	275 * 1000 ^ (trillion)	"Moon Express"	3
"Cushy Barstools"	433 * 1000 ^ (trillion)	"Oxygen Bar"	3
"Crash-Proof Harvesters"	266 * 1000 ^ (trillion)	"Helium-3 Farm"	3
"Tea"	665 * 1000 ^ (trillion)	"Cheese Mine"	3
"Trampoline Land"	931 * 1000 ^ (trillion)	"Amusement Park"	3
"Brush Kiosks"	2 * 1000 ^ (quadrillion)	"Werewolf Colony"	3
"Underground Lair"	3 * 1000 ^ (quadrillion)	"Giant Laser"	3
"Monorail To Earth"	7 * 1000 ^ (quadrillion)	"All businesses"	9
"Almoond Milk"	500 * 1000 ^ (quintillion)	"All businesses"	9
"Cleat Upgrades"	26 * 1000 ^ (sextillion)	"Moon Shoe"	3
"Mars Gravity Setting"	67 * 1000 ^ (sextillion)	"Gravity Booth"	3
"Celebrity DNA Samples"	93 * 1000 ^ (sextillion)	"Payday Clone"	3
"Adorable Fuel Generator"	133 * 1000 ^ (sextillion)	"Moon Express"	3
"Memorable Jingle"	266 * 1000 ^ (sextillion)	"Oxygen Bar"	3
"Particle Shovels"	465 * 1000 ^ (sextillion)	"Helium-3 Farm"	3
"Biscuits"	665 * 1000 ^ (sextillion)	"Cheese Mine"	3
"Moon Merchandise"	997 * 1000 ^ (sextillion)	"Amusement Park"	3
"Flea Bath Spas"	2 * 1000 ^ (septillion)	"Werewolf Colony"	3
"Abundant Henchmen"	3 * 1000 ^ (septillion)	"Giant Laser"	3
"Lake Armstrong Install"	10 * 1000 ^ (septillion)	"All businesses"	9
"High Heel Extensions"	5 * 1000 ^ (nonillion)	"Moon Shoe"	3
"Fresh Air Simulator"	10 * 1000 ^ (nonillion)	"Gravity Booth"	3
"Fancy Hats"	20 * 1000 ^ (nonillion)	"Payday Clone"	3
"Questionable Staff Doctor"	40 * 1000 ^ (nonillion)	"Moon Express"	3
